Judul Berita,Link Berita,Link Gambar
VIDEO: Penemuan Kuburan Massal di Libia,https://www.cnnindonesia.com/tv/20200624120541-407-516862/video-penemuan-kuburan-massal-di-libia,https://akcdn.detik.net.id/visual/2020/06/24/thumbnail-video_169.png?w=280&q=90
"Polri Sebut Kriminalitas Naik 38,45 Persen Jelang New Normal",https://www.cnnindonesia.com/nasional/20200617074741-12-514117/polri-sebut-kriminalitas-naik-3845-persen-jelang-new-normal,https://akcdn.detik.net.id/visual/2020/04/21/7c0e582e-a703-43cb-a572-13055f046d5f_169.jpeg?w=280&q=90
"135 Napi Asimilasi Kambuh, dari Faktor Ekonomi hingga Dendam",https://www.cnnindonesia.com/nasional/20200526081227-12-506870/135-napi-asimilasi-kambuh-dari-faktor-ekonomi-hingga-dendam,https://akcdn.detik.net.id/visual/2018/07/09/4747ac44-6fda-4cd5-928a-8388913591ea_169.jpeg?w=280&q=90
Angka Kriminalitas Naik Jelang Lebaran di Tengah Wabah Corona,https://www.cnnindonesia.com/nasional/20200519132948-12-504869/angka-kriminalitas-naik-jelang-lebaran-di-tengah-wabah-corona,https://akcdn.detik.net.id/visual/2020/04/21/7c0e582e-a703-43cb-a572-13055f046d5f_169.jpeg?w=280&q=90
"Masa Pandemi, Polri Klaim Kriminal April Turun 19,9 Persen",https://www.cnnindonesia.com/nasional/20200504204404-12-500001/masa-pandemi-polri-klaim-kriminal-april-turun-199-persen,https://akcdn.detik.net.id/visual/2020/04/19/3afbced9-453d-4426-9c88-4b3f1dae6ba6_169.jpeg?w=280&q=90
Polri Maksimalkan Bhabinkantibmas Cegah Kejahatan saat Corona,https://www.cnnindonesia.com/nasional/20200501074531-12-499124/polri-maksimalkan-bhabinkantibmas-cegah-kejahatan-saat-corona,https://akcdn.detik.net.id/visual/2019/12/28/68cdf72c-2b33-4785-9a63-e0c2342c8749_169.jpeg?w=280&q=90
"Corona, Kriminalitas dan Ragam Imbas Sosial Masyarakat",https://www.cnnindonesia.com/nasional/20200424151758-12-496997/corona-kriminalitas-dan-ragam-imbas-sosial-masyarakat,https://akcdn.detik.net.id/visual/2019/03/12/f26ef263-77f3-442e-93b3-e1959e48ea63_169.jpeg?w=280&q=90
VIDEO: Puteri Indonesia 2023 Farhana Nariswari: Perjuangkan Isu Gender,https://www.cnnindonesia.com/gaya-hidup/20230524175100-281-953584/video-puteri-indonesia-2023-farhana-nariswari-perjuangkan-isu-gender,https://akcdn.detik.net.id/visual/2023/05/24/thumbnail-video-16_169.jpeg?w=230&q=90
Tema dan Sejarah Hari Susu Sedunia 2023,https://www.cnnindonesia.com/gaya-hidup/20230531150934-284-956322/tema-dan-sejarah-hari-susu-sedunia-2023,https://akcdn.detik.net.id/visual/2019/11/27/03b60434-af5b-40fb-b1d6-ccccccb689d8_169.jpeg?w=230&q=90
Polisi Dalami Motif Pencurian Susu di Minimarket Cibubur,https://www.cnnindonesia.com/nasional/20200421101528-12-495549/polisi-dalami-motif-pencurian-susu-di-minimarket-cibubur,https://akcdn.detik.net.id/visual/2020/04/08/04d97609-4529-418c-ab7b-8b820c38fa39_169.jpeg?w=280&q=90
"Polri: Kejahatan Meningkat Selama PSBB, Pencurian Mendominasi",https://www.cnnindonesia.com/nasional/20200420185641-12-495403/polri-kejahatan-meningkat-selama-psbb-pencurian-mendominasi,https://akcdn.detik.net.id/visual/2015/09/03/069a9381-6be8-4016-84b7-7ff542bc9d8e_169.jpg?w=280&q=90
Polisi Semarang Antisipasi Kejahatan Jalanan selama Pandemi,https://www.cnnindonesia.com/nasional/20200420073604-12-495103/polisi-semarang-antisipasi-kejahatan-jalanan-selama-pandemi,https://akcdn.detik.net.id/visual/2020/04/20/e92d9e9f-4f63-4925-81c6-80628bc609bb_169.jpeg?w=280&q=90
Doa Mengusir Setan dan Terhindar dari Kejahatan,https://www.cnnindonesia.com/gaya-hidup/20191031154733-284-444554/doa-mengusir-setan-dan-terhindar-dari-kejahatan,https://akcdn.detik.net.id/visual/2019/10/31/458878ee-dae9-4e09-bfea-ed9c6b9627ab_169.jpeg?w=280&q=90
VIDEO: Pameran Barang Bukti Hasil Kejahatan,https://www.cnnindonesia.com/tv/20190925094755-434-433731/video-pameran-barang-bukti-hasil-kejahatan,https://akcdn.detik.net.id/visual/2019/09/25/d0d152a5-12a1-432a-9c3c-351edd1b836f_169.jpeg?w=280&q=90
"Angka Kriminalitas Naik, Polri Fokus Empat Kasus Kejahatan",https://www.cnnindonesia.com/nasional/20190517062637-12-395609/angka-kriminalitas-naik-polri-fokus-empat-kasus-kejahatan,https://akcdn.detik.net.id/visual/2019/01/16/26a8f212-6406-49b2-8617-e6cc5c2ee236_169.jpeg?w=280&q=90
"Empat Hari, Ratusan Penjahat Jalanan di Jakarta Diciduk",https://www.cnnindonesia.com/nasional/20190315170802-12-377656/empat-hari-ratusan-penjahat-jalanan-di-jakarta-diciduk,https://akcdn.detik.net.id/visual/2019/03/15/ef2ccc67-3a3c-4423-8a32-a94530ec205e_169.jpeg?w=280&q=90
Jenazah Pelaku Pembakar Istri & Anak Ditolak Warga,https://www.cnnindonesia.com/tv/20190221095154-400-371313/jenazah-pelaku-pembakar-istri-anak-ditolak-warga,https://akcdn.detik.net.id/visual/2019/02/21/0058d467-e76a-4c78-9907-228f288caabe_169.jpeg?w=280&q=90
VIDEO: Pelaku Pencopetan Saat Kirab Timnas diamankan Polisi,https://www.cnnindonesia.com/tv/20230519171459-407-951635/video-pelaku-pencopetan-saat-kirab-timnas-diamankan-polisi,https://akcdn.detik.net.id/visual/2023/05/19/thumbnail-video-16_169.jpeg?w=280&q=90
"Dipanggil Tanpa Gelar, Dokter Aniaya Pelayan Karen's Dinner Bali",https://www.cnnindonesia.com/nasional/20230517194444-12-951030/dipanggil-tanpa-gelar-dokter-aniaya-pelayan-karens-dinner-bali,https://akcdn.detik.net.id/visual/2018/08/31/02182152-d247-457f-bd4d-4f273637f701_169.jpeg?w=280&q=90
"VIDEO: Pasutri WNA Curi Uang Pedagang Telur, Uang Tunai 3 Juta Kandas",https://www.cnnindonesia.com/tv/20230516143539-407-950308/video-pasutri-wna-curi-uang-pedagang-telur-uang-tunai-3-juta-kandas,https://akcdn.detik.net.id/visual/2023/05/16/thumbnail-5_169.jpeg?w=280&q=90
Warga Nigeria Jadi Tersangka Penganiayaan 2 Ibu di Kelapa Gading,https://www.cnnindonesia.com/nasional/20230507124529-12-946298/warga-nigeria-jadi-tersangka-penganiayaan-2-ibu-di-kelapa-gading,https://akcdn.detik.net.id/visual/2021/10/16/ilustrasi-pelaku-kekerasan_169.jpeg?w=280&q=90
Mantan Pemain PSM Ditangkap Polisi Usai Aniaya Sekuriti Karaoke,https://www.cnnindonesia.com/olahraga/20230506163348-142-946097/mantan-pemain-psm-ditangkap-polisi-usai-aniaya-sekuriti-karaoke,https://akcdn.detik.net.id/visual/2016/03/24/72214112-e34e-4653-9176-c42d2c8f54ce_169.jpg?w=280&q=90
Dua Warga Tangerang Ditangkap karena Curi Kambing dengan Racun,https://www.cnnindonesia.com/nasional/20230422030059-12-940787/dua-warga-tangerang-ditangkap-karena-curi-kambing-dengan-racun,https://akcdn.detik.net.id/visual/2018/08/31/2ae3c978-4069-41f9-a855-734e9ce558c1_169.jpeg?w=280&q=90
Polisi Beber Cara Kerja Penipu Modus QRIS Palsu di Kotak Amal Masjid,https://www.cnnindonesia.com/nasional/20230411211448-12-936445/polisi-beber-cara-kerja-penipu-modus-qris-palsu-di-kotak-amal-masjid,https://akcdn.detik.net.id/visual/2023/04/11/penipuan-qris-palsu-kotak-amal-masjid-blok-m-6_169.jpeg?w=280&q=90
Polisi Selidiki Dugaan Barcode QRIS Palsu di Masjid Bintaro,https://www.cnnindonesia.com/nasional/20230410233857-12-935940/polisi-selidiki-dugaan-barcode-qris-palsu-di-masjid-bintaro,https://akcdn.detik.net.id/visual/2021/09/08/ilustrasi-barcode_169.jpeg?w=280&q=90
Polisi Selidiki 50 Barcode QRIS Palsu di Kotak Amal Masjid Istiqlal,https://www.cnnindonesia.com/nasional/20230410214805-12-935930/polisi-selidiki-50-barcode-qris-palsu-di-kotak-amal-masjid-istiqlal,https://akcdn.detik.net.id/visual/2023/03/25/menjelang-magrib-di-masjid-istiqlal-3_169.jpeg?w=280&q=90
"VIDEO: Pria Tua Cabuli Anak Tiri Hingga Hamil. Melahirkan, Bayi Dibunu",https://www.cnnindonesia.com/tv/20230406164937-407-934561/video-pria-tua-cabuli-anak-tiri-hingga-hamil-melahirkan-bayi-dibunu,https://akcdn.detik.net.id/visual/2023/04/06/thumbnail-9_169.jpeg?w=280&q=90
"VIDEO: Polisi Giring 2 Jambret, Warga Nyanyi Happy Birthday To You",https://www.cnnindonesia.com/tv/20230404152204-407-933446/video-polisi-giring-2-jambret-warga-nyanyi-happy-birthday-to-you,https://akcdn.detik.net.id/visual/2023/04/04/thumbnail-video-11_169.jpeg?w=280&q=90
Mayat Bayi Ditemukan di Tempat Sampah Jembatan Sentani Jayapura,https://www.cnnindonesia.com/nasional/20230323122916-12-928519/mayat-bayi-ditemukan-di-tempat-sampah-jembatan-sentani-jayapura,https://akcdn.detik.net.id/visual/2015/03/04/99d91ed2-72da-49c0-9d07-8e7725814c97_169.jpg?w=280&q=90
Fakta-fakta Kasus Mutilasi Perempuan di Sleman,https://www.cnnindonesia.com/nasional/20230323091245-12-928462/fakta-fakta-kasus-mutilasi-perempuan-di-sleman,https://akcdn.detik.net.id/visual/2023/03/22/pelaku-mutilasi-di-sleman-berniat-buang-tubuh-korban-ke-septic-tank_169.jpeg?w=280&q=90
VIDEO: Pelajar SMP Dibunuh Pacar Dan Dikubur Di Dapur Rumah Warga,https://www.cnnindonesia.com/tv/20230320162848-407-927413/video-pelajar-smp-dibunuh-pacar-dan-dikubur-di-dapur-rumah-warga,https://akcdn.detik.net.id/visual/2023/03/20/thumbnail-6_169.jpeg?w=280&q=90
"VIDEO: Perampokan Bank Di Lampung, Tiga Pegawai Kena Luka Tembak",https://www.cnnindonesia.com/tv/20230317185459-407-926534/video-perampokan-bank-di-lampung-tiga-pegawai-kena-luka-tembak,https://akcdn.detik.net.id/visual/2023/03/17/thumbnail-13_169.jpeg?w=280&q=90
Detik-Detik Aksi Perampokan Bank di Lampung,https://www.cnnindonesia.com/nasional/20230317124641-12-926338/detik-detik-aksi-perampokan-bank-di-lampung,https://akcdn.detik.net.id/visual/2023/03/17/kapolresta-bandar-lampung-kombes-ino-harianto-membesuk-korban-perampokan-di-bank-artha-kedaton-makmur-4_169.jpeg?w=280&q=90
"VIDEO: Suami Ditangkap Polisi Karena Mencuri, Istri Histeris",https://www.cnnindonesia.com/tv/20230314165558-407-924971/video-suami-ditangkap-polisi-karena-mencuri-istri-histeris,https://akcdn.detik.net.id/visual/2023/03/14/thumbnail-video-14_169.jpeg?w=280&q=90
3 PSK Asal Rusia Dideportasi dari Bali,https://www.cnnindonesia.com/nasional/20230311133038-12-923728/3-psk-asal-rusia-dideportasi-dari-bali,https://akcdn.detik.net.id/visual/2023/03/11/tiga-warga-negara-rusia-yang-bekerja-sebagai-pekerja-seks-komersial-psk-di-bali-dideportasi_169.png?w=280&q=90
VIDEO: Maraknya Perilaku Perundungan Berujung Kriminal,https://www.cnnindonesia.com/tv/20230307135049-404-921945/video-maraknya-perilaku-perundungan-berujung-kriminal,https://akcdn.detik.net.id/visual/2023/03/07/today-2_169.jpeg?w=280&q=90
"VIDEO: Pemilik ke Masjid, Delman Berikut Kudanya Digondol Maling",https://www.cnnindonesia.com/tv/20230306181228-407-921641/video-pemilik-ke-masjid-delman-berikut-kudanya-digondol-maling,https://akcdn.detik.net.id/visual/2023/03/06/thumbnail-video-16_169.jpeg?w=280&q=90
VIDEO: Istri Lionel Messi Diancam 2 Pria Bersenjata,https://www.cnnindonesia.com/tv/20230303161346-401-920461/video-istri-lionel-messi-diancam-2-pria-bersenjata,https://akcdn.detik.net.id/visual/2023/03/03/thumbnail-10_169.jpeg?w=280&q=90
"VIDEO: Jenazah Yusi Purawati, Korban Tewas Dicor Dimakamkan",https://www.cnnindonesia.com/tv/20230301150357-407-919407/video-jenazah-yusi-purawati-korban-tewas-dicor-dimakamkan,https://akcdn.detik.net.id/visual/2023/03/01/thumbnail-5_169.jpeg?w=280&q=90
VIDEO: Momen Aksi Pencopetan di JPO Phinisi Jakarta Terekam CCTV,https://www.cnnindonesia.com/tv/20230228155800-407-918934/video-momen-aksi-pencopetan-di-jpo-phinisi-jakarta-terekam-cctv,https://akcdn.detik.net.id/visual/2023/02/28/thumbnail-video-8_169.jpeg?w=280&q=90
Polisi Selidiki Pesepeda Motor Dibacok Hingga Masuk Selokan di Jaksel,https://www.cnnindonesia.com/nasional/20230227121926-12-918289/polisi-selidiki-pesepeda-motor-dibacok-hingga-masuk-selokan-di-jaksel,https://akcdn.detik.net.id/visual/2020/06/22/ilustrasi-penusukan_169.jpeg?w=280&q=90
VIDEO: Momen Aksi Perampokan Bersenjata Api Di Pekanbaru,https://www.cnnindonesia.com/tv/20230221124856-407-915771/video-momen-aksi-perampokan-bersenjata-api-di-pekanbaru,https://akcdn.detik.net.id/visual/2023/02/21/thumbnail-2_169.jpeg?w=280&q=90
VIDEO: Ketika Anak Terlibat Kejahatan Berat,https://www.cnnindonesia.com/tv/20230218184855-407-914852/video-ketika-anak-terlibat-kejahatan-berat,https://akcdn.detik.net.id/visual/2023/02/18/ketika-anak-terlibat-kejahatan-berat_169.jpeg?w=280&q=90
VIDEO: Polisi Tangkap Pembunuh Juragan Ayam Goreng,https://www.cnnindonesia.com/tv/20230130140728-400-906594/video-polisi-tangkap-pembunuh-juragan-ayam-goreng,https://akcdn.detik.net.id/visual/2023/02/18/polisi-tangkap-pembunuh-juragan-ayam-goreng_169.jpeg?w=280&q=90
Polisi: Waspadai Waktu Rawan Kejahatan Jalanan Pukul 00.00-05.00,https://www.cnnindonesia.com/nasional/20230217105659-12-914321/polisi-waspadai-waktu-rawan-kejahatan-jalanan-pukul-0000-0500,https://akcdn.detik.net.id/visual/2022/03/30/ilustrasi-tawuran-sahur-1_169.jpeg?w=280&q=90
Polisi Usut Terapis Jepit Anak Sampai Menangis di Rumah Sakit Depok,https://www.cnnindonesia.com/nasional/20230216063926-12-913656/polisi-usut-terapis-jepit-anak-sampai-menangis-di-rumah-sakit-depok,https://akcdn.detik.net.id/visual/2015/07/24/0676200f-0af8-4c87-a754-bff6467e55d7_169.jpg?w=280&q=90
"VIDEO: Waspada Penculikan Anak, Apa Langkah Pemerintah?",https://www.cnnindonesia.com/tv/20190618201043-409-404410/video-waspada-penculikan-anak-apa-langkah-pemerintah,https://akcdn.detik.net.id/visual/2023/02/06/waspada-penculikan-anak-apa-langkah-pemerintah_169.jpeg?w=280&q=90
Polri Sebut TKW yang Minta Pulang dari Saudi Bukan Korban TPPO,https://www.cnnindonesia.com/nasional/20230128025857-12-905899/polri-sebut-tkw-yang-minta-pulang-dari-saudi-bukan-korban-tppo,https://akcdn.detik.net.id/visual/2014/11/20/4955d834-d868-42fa-b629-384cad469ed2_169.jpg?w=280&q=90
KPPPA Beber Potensi Pidana 3 Siswa SD Mojokerto Diduga Perkosa Anak TK,https://www.cnnindonesia.com/nasional/20230127234159-12-905882/kpppa-beber-potensi-pidana-3-siswa-sd-mojokerto-diduga-perkosa-anak-tk,https://akcdn.detik.net.id/visual/2023/01/09/ilustrasi-kekerasan-terhadap-anak-5_169.jpeg?w=280&q=90
"Polisi Tangkap 12 Tersangka Judi Online, Total Kerugian Rp2 Miliar",https://www.cnnindonesia.com/nasional/20230127222633-12-905873/polisi-tangkap-12-tersangka-judi-online-total-kerugian-rp2-miliar,https://akcdn.detik.net.id/visual/2018/08/31/2ae3c978-4069-41f9-a855-734e9ce558c1_169.jpeg?w=280&q=90
Ibu Mahasiswa UI Tewas Ditabrak Cerita Diminta Damai Kala Mediasi,https://www.cnnindonesia.com/nasional/20230127220252-12-905872/ibu-mahasiswa-ui-tewas-ditabrak-cerita-diminta-damai-kala-mediasi,https://akcdn.detik.net.id/visual/2023/01/27/tewas-ditabrak-purnawirawan-polri-mahasiswa-ui-justru-ditetapkan-sebagai-tersangka_169.jpeg?w=280&q=90
Otak Pembunuhan Bocah Demi Ginjal di Makassar Dilimpahkan ke Jaksa,https://www.cnnindonesia.com/nasional/20230127034201-12-905429/otak-pembunuhan-bocah-demi-ginjal-di-makassar-dilimpahkan-ke-jaksa,https://akcdn.detik.net.id/visual/2023/01/27/logo-kejaksaan-negeri-makassar_169.jpeg?w=280&q=90
TKW Korban Wowon Cs Ngadu ke Polisi Dua Rekan Masih Hilang,https://www.cnnindonesia.com/nasional/20230127015353-12-905423/tkw-korban-wowon-cs-ngadu-ke-polisi-dua-rekan-masih-hilang,https://akcdn.detik.net.id/visual/2023/01/27/tkw-korban-wowon-cs_169.jpeg?w=280&q=90
Densus 88 Dituding Mangkir Dua Kali dari Praperadilan John Sondang,https://www.cnnindonesia.com/nasional/20230127021004-12-905425/densus-88-dituding-mangkir-dua-kali-dari-praperadilan-john-sondang,https://akcdn.detik.net.id/visual/2019/10/31/57bd5113-e11c-46b7-948b-d8a96adbc8eb_169.jpeg?w=280&q=90
TKW Korban Wowon Cs Disebut Selalu Buntung dan Dapat Ancaman,https://www.cnnindonesia.com/nasional/20230126222844-20-905402/tkw-korban-wowon-cs-disebut-selalu-buntung-dan-dapat-ancaman,https://akcdn.detik.net.id/visual/2023/01/20/wowon-erawan-alias-aki-1_169.jpeg?w=280&q=90
"Ecky Klaim Mutilasi Angela pada 2019, Polisi Bakal Cek DNA di TKP",https://www.cnnindonesia.com/nasional/20230125002046-12-904442/ecky-klaim-mutilasi-angela-pada-2019-polisi-bakal-cek-dna-di-tkp,https://akcdn.detik.net.id/visual/2019/10/10/9595d06d-857d-42c0-8cc3-b0b5a455f245_169.jpeg?w=280&q=90
Pengacara: JPU Gagal Tunjukkan Motif Sambo di Pembunuhan Brigadir J,https://www.cnnindonesia.com/nasional/20230124223717-12-904432/pengacara-jpu-gagal-tunjukkan-motif-sambo-di-pembunuhan-brigadir-j,https://akcdn.detik.net.id/visual/2023/01/24/sidang-pledoi-ferdy-sambo-5_169.jpeg?w=280&q=90
Ferdy Sambo Minta Dibebaskan di Kasus Pembunuhan Berencana Brigadir J,https://www.cnnindonesia.com/nasional/20230124222548-12-904431/ferdy-sambo-minta-dibebaskan-di-kasus-pembunuhan-berencana-brigadir-j,https://akcdn.detik.net.id/visual/2023/01/24/sidang-pledoi-ferdy-sambo-2_169.jpeg?w=280&q=90
Polri Masih Buru 2 Tersangka Buron Kasus Penipuan Net89,https://www.cnnindonesia.com/nasional/20230124212221-12-904425/polri-masih-buru-2-tersangka-buron-kasus-penipuan-net89,https://akcdn.detik.net.id/visual/2020/01/24/1181ee4f-44ea-4320-9b9b-a59ec49737ce_169.jpeg?w=280&q=90
Warga Dairi Tikam Sahabat hingga Tewas Buntut Tak Bayar Tuak,https://www.cnnindonesia.com/nasional/20230124013043-12-903985/warga-dairi-tikam-sahabat-hingga-tewas-buntut-tak-bayar-tuak,https://akcdn.detik.net.id/visual/2020/04/21/7c0e582e-a703-43cb-a572-13055f046d5f_169.jpeg?w=280&q=90
Warga Lampung Tebas Pergelangan Tangan Tetangga Buntut Cekcok,https://www.cnnindonesia.com/nasional/20230123225010-12-903975/warga-lampung-tebas-pergelangan-tangan-tetangga-buntut-cekcok,https://akcdn.detik.net.id/visual/2023/01/23/pelaku-pembacokan-di-lampung_169.jpeg?w=280&q=90
"VIDEO: Keji, Ayah Di Pangandaran Bunuh Anak Berusia 8 Bulan",https://www.cnnindonesia.com/tv/20230112163334-407-899624/video-keji-ayah-di-pangandaran-bunuh-anak-berusia-8-bulan,https://akcdn.detik.net.id/visual/2023/01/12/thumbnail-5_169.jpeg?w=280&q=90
VIDEO: Nenek 104 Tahun Jadi Korban Penjambretan,https://www.cnnindonesia.com/tv/20230112111414-434-899403/video-nenek-104-tahun-jadi-korban-penjambretan,https://akcdn.detik.net.id/visual/2023/01/12/nenek-104-tahun-jadi-korban-penjambretan_169.jpeg?w=280&q=90
6 Fakta Baru Pembunuhan Angela Korban Mutilasi di Bekasi,https://www.cnnindonesia.com/nasional/20230108071953-12-897490/6-fakta-baru-pembunuhan-angela-korban-mutilasi-di-bekasi,https://akcdn.detik.net.id/visual/2019/09/21/6050a50e-542d-4edb-afbc-d8bb7d565bc9_169.jpeg?w=280&q=90
Menilik Ragam Kasus Pembunuhan dari Kacamata Kriminologi,https://www.cnnindonesia.com/nasional/20230107153952-12-897385/menilik-ragam-kasus-pembunuhan-dari-kacamata-kriminologi,https://akcdn.detik.net.id/visual/2020/06/22/ilustrasi-penusukan-1_169.jpeg?w=280&q=90
Keluarga Cerita Angela dan Pelaku Mutilasi Punya Hubungan Asmara,https://www.cnnindonesia.com/nasional/20230107102924-12-897300/keluarga-cerita-angela-dan-pelaku-mutilasi-punya-hubungan-asmara,https://akcdn.detik.net.id/visual/2021/12/25/ilustrasi-garis-polisi_169.jpeg?w=280&q=90
"Dilaporkan Dirut Taspen, Kamaruddin Klaim Punya Bukti Ribuan Video",https://www.cnnindonesia.com/nasional/20230107095927-12-897297/dilaporkan-dirut-taspen-kamaruddin-klaim-punya-bukti-ribuan-video,https://akcdn.detik.net.id/visual/2022/11/26/pindahkan-uang-josua-dari-rekening-kamaruddin-minta-sambo-dijerat-pasal-curas-dan-cuci-uang-external-inbox_169.jpeg?w=280&q=90
"Pria Dibegal saat Makan di Warteg Bekasi: Diancam Celurit, Motor Raib",https://www.cnnindonesia.com/nasional/20221227185831-12-892819/pria-dibegal-saat-makan-di-warteg-bekasi-diancam-celurit-motor-raib,https://akcdn.detik.net.id/visual/2019/11/15/f6fd7dff-d85a-4592-8f64-a84723692b76_169.jpeg?w=280&q=90
VIDEO: Pengakuan Pelaku Pembunuhan 1 Keluarga Dengan Sianida,https://www.cnnindonesia.com/tv/20221202160228-407-882014/video-pengakuan-pelaku-pembunuhan-1-keluarga-dengan-sianida,https://akcdn.detik.net.id/visual/2022/12/02/thumbnail-video-10_169.jpeg?w=280&q=90
VIDEO: Aksi Pencuri Bobol Mesin Atm Seperti Di Film Aksi,https://www.cnnindonesia.com/tv/20221124161923-407-878247/video-aksi-pencuri-bobol-mesin-atm-seperti-di-film-aksi,https://akcdn.detik.net.id/visual/2022/11/24/thumbnail-6_169.jpeg?w=280&q=90
Bareskrim Disebut Bakal Terbitkan LP Terkait Laporan Korban Kanjuruhan,https://www.cnnindonesia.com/nasional/20221119161017-12-875920/bareskrim-disebut-bakal-terbitkan-lp-terkait-laporan-korban-kanjuruhan,https://akcdn.detik.net.id/visual/2022/11/19/korban-kanjuruhan-gelar-aksi-damai-di-mabes-polri-minta-kasus-diusut-tuntas-1_169.jpeg?w=280&q=90
"Cegah Kejahatan Jalanan, Polda Metro Jaya Buat Aplikasi Ada Polisi",https://www.cnnindonesia.com/nasional/20221118024614-12-875334/cegah-kejahatan-jalanan-polda-metro-jaya-buat-aplikasi-ada-polisi,https://akcdn.detik.net.id/visual/2022/06/17/kapolda-metro-jaya-irjen-fadil-imran-4_169.jpeg?w=280&q=90
Polisi Dalang Penganiayaan Tahanan di Medan Dituntut 8 Tahun Bui,https://www.cnnindonesia.com/nasional/20221118015939-12-875332/polisi-dalang-penganiayaan-tahanan-di-medan-dituntut-8-tahun-bui,https://akcdn.detik.net.id/visual/2021/10/16/ilustrasi-pria-mengepalkan-tangan_169.jpeg?w=280&q=90
