Judul Berita,Link Berita,Link Gambar
"Gudang Makanan di Makassar Terbakar, Diduga Arus Pendek",https://www.cnnindonesia.com/nasional/20230503002112-20-944502/gudang-makanan-di-makassar-terbakar-diduga-arus-pendek,https://akcdn.detik.net.id/visual/2020/01/01/2ab612fd-1f1a-4633-829b-795f0b6f1a1d_169.jpeg?w=280&q=90
Polisi Selidiki Sumber Api Kebakaran Gedung Malang Plaza,https://www.cnnindonesia.com/nasional/20230502232050-20-944499/polisi-selidiki-sumber-api-kebakaran-gedung-malang-plaza,https://akcdn.detik.net.id/visual/2019/10/22/0435c711-50f0-44f3-8720-eba761ac1e91_169.jpeg?w=280&q=90
"Asrama Polisi di Manado Kebakaran, Tidak Ada Korban Jiwa",https://www.cnnindonesia.com/nasional/20230502191651-20-944461/asrama-polisi-di-manado-kebakaran-tidak-ada-korban-jiwa,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
"Malang Plaza Terbakar, 15 Unit Mobil Damkar Diterjunkan",https://www.cnnindonesia.com/nasional/20230502085616-12-944106/malang-plaza-terbakar-15-unit-mobil-damkar-diterjunkan,https://akcdn.detik.net.id/visual/2023/04/30/bingkai-sepekan-edisi-1-mei-2022-1_169.jpeg?w=280&q=90
VIDEO: Detik-detik Kebakaran di Pusat Migran Meksiko Tewaskan 40 Orang,https://www.cnnindonesia.com/internasional/20230428143236-139-943097/video-detik-detik-kebakaran-di-pusat-migran-meksiko-tewaskan-40-orang,https://akcdn.detik.net.id/visual/2023/04/28/thumbnail-video-3_169.png?w=280&q=90
Tiga Hari Semburan Api di Rest Area Tol Cipali Masih Berkobar,https://www.cnnindonesia.com/nasional/20230428135404-20-943074/tiga-hari-semburan-api-di-rest-area-tol-cipali-masih-berkobar,https://akcdn.detik.net.id/visual/2023/04/26/thumbnail-video_169.png?w=280&q=90
"VIDEO: Semburan Api Rest Area Tol Cipali Belum Padam, Pedagang Merugi",https://www.cnnindonesia.com/tv/20230428130112-400-943020/video-semburan-api-rest-area-tol-cipali-belum-padam-pedagang-merugi,https://akcdn.detik.net.id/visual/2023/04/28/semburan-api-rest-area-tol-cipali-belum-padam-pedagang-merugi_169.jpeg?w=280&q=90
"Viral Video Kebakaran di Jakut, Damkar DKI Jakarta Tegaskan Hoaks",https://www.cnnindonesia.com/nasional/20230427193240-20-942816/viral-video-kebakaran-di-jakut-damkar-dki-jakarta-tegaskan-hoaks,https://akcdn.detik.net.id/visual/2020/01/29/3f62a2dd-a75b-444f-ab46-b520ed17b7b2_169.jpeg?w=280&q=90
"Api di Rest Area KM 86 Cipali Masih Berkobar, Pemadaman Belum Selesai",https://www.cnnindonesia.com/nasional/20230427130633-20-942606/api-di-rest-area-km-86-cipali-masih-berkobar-pemadaman-belum-selesai,https://akcdn.detik.net.id/visual/2023/04/21/h-1-lebaran-sepi-pemudik-jalan-tol-japek-dan-rest-area-ramai-pelancong-1_169.jpeg?w=280&q=90
"Kebakaran Hebat di Kampung Coklat Blitar, Tak Ada Korban Jiwa",https://www.cnnindonesia.com/nasional/20230426115314-20-942185/kebakaran-hebat-di-kampung-coklat-blitar-tak-ada-korban-jiwa,https://akcdn.detik.net.id/visual/2021/07/19/ilustrasi-kebakaran-1_169.jpeg?w=280&q=90
FOTO: Permukiman Padat Penduduk di Jakarta Utara Dilalap Si Jago Merah,https://www.cnnindonesia.com/nasional/20230425162427-22-941901/foto-permukiman-padat-penduduk-di-jakarta-utara-dilalap-si-jago-merah,https://akcdn.detik.net.id/visual/2023/04/25/kebakaran-permukiman-padat-penduduk-di-pademangan-8_169.jpeg?w=280&q=90
"Kebakaran di Jakut Hanguskan Puluhan Rumah, Diduga Korsleting Listrik",https://www.cnnindonesia.com/nasional/20230425161935-20-941899/kebakaran-di-jakut-hanguskan-puluhan-rumah-diduga-korsleting-listrik,https://akcdn.detik.net.id/visual/2019/10/22/b975a9eb-9565-46d3-9b7f-55cdb2fd8afa_169.jpeg?w=280&q=90
"TSM Makassar Kebakaran, Api Sudah Berhasil Dipadamkan",https://www.cnnindonesia.com/nasional/20230424195809-20-941640/tsm-makassar-kebakaran-api-sudah-berhasil-dipadamkan,https://akcdn.detik.net.id/visual/2020/01/01/2ab612fd-1f1a-4633-829b-795f0b6f1a1d_169.jpeg?w=280&q=90
Kebakaran Lahap Ruko Tiga Lantai di Pasar Sentral Makassar,https://www.cnnindonesia.com/nasional/20230423193618-20-941263/kebakaran-lahap-ruko-tiga-lantai-di-pasar-sentral-makassar,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
